*Cell Name,Cell SDCCH Channel Maximum
immeuble Baklouti_DCS_4_SBO3001,72
immeuble Baklouti_1_SBO1001,48
immeuble Baklouti_2_SBO1001,40
immeuble Baklouti_3_SBO1001,40
SBO1001S4,40
immeuble Baklouti_DCS_1_SBO3001,80
immeuble Baklouti_DCS_2_SBO3001,64
caffee Erriyadh_1_SBO1002,24
caffee Erriyadh_2_SBO1002,40
caffee Erriyadh_3_SBO1002,40
caffee Erriyadh_DCS_1_SBO3002,40
caffee Erriyadh_DCS_3_SBO3002,64
Jelma_1_SBO1003,40
Jelma_2_SBO1003,40
Jelma_3_SBO1003,40
SBO1003S4,40
Jelma_DCS_1_SBO3003,40
Jelma_DCS_2_SBO3003,64
GP3_1_SBO1004,40
GP3_2_SBO1004,40
Bir Hfay_1_SBO1005,48
Bir Hfay_2_SBO1005,64
Bir Hfay_3_SBO1005,40
Bir Hfay_DCS_1_SBO3005,72
Ben Ouan_1_SBO1006,64
Ben Ouan_2_SBO1006,48
Ben Ouan_3_SBO1006,40
Ben Ouan_DCS_2_SBO3006,40
Ben Ouan_DCS_3_SBO3006,40
ESSABALA_DCS_4_KAS3007,64
ESSABALA_1_KAS1007,40
ESSABALA_2_KAS1007,40
ESSABALA_3_KAS1007,40
ESSABALA_4_KAS1007,40
ESSABALA_DCS_2_KAS3007,72
MENZEL_BOU_ZAIEN_DCS_4_SBO3008,40
MENZEL_BOU_ZAIEN_1_SBO1008,40
MENZEL_BOU_ZAIEN_2_SBO1008,40
MENZEL_BOU_ZAIEN_3_SBO1008,40
SBO1008S4,40
MENZEL_BOU_ZAIEN_DCS_2_SBO3008,64
EL_MAKNASSI_1_SBO1009,40
EL_MAKNASSI_2_SBO1009,40
EL_MAKNASSI_3_SBO1009,40
EL_MAKNASSI_DCS_1_SBO3009,40
EL_MAKNASSI_DCS_2_SBO3009,40
EL_MAKNASSI_DCS_3_SBO3009,40
EL_KARMA_1_SBO1010,40
EL_KARMA_2_SBO1010,24
EL_KARMA_3_SBO1010,40
EL_KARMA_DCS_3_SBO3010,40
MAZZOUNA_1_SBO1011,64
MAZZOUNA_2_SBO1011,40
MAZZOUNA_3_SBO1011,40
MAZZOUNA_4_SBO1011,40
MAZZOUNA_DCS_2_SBO3011,40
MAZZOUNA_DCS_3_SBO3011,72
MILLEDOUZ_1_SBO1012,40
MILLEDOUZ_2_SBO1012,40
MILLEDOUZ_3_SBO1012,40
MILLEDOUZ_DCS_1_SBO3012,40
MILLEDOUZ_DCS_2_SBO3012,40
hajeb layoun _1_KAI1013,40
hajeb layoun _2_KAI1013,40
hajeb layoun _3_KAI1013,72
hajeb layoun _DCS_1_KAI3013,64
hajeb layoun _DCS_2_KAI3013,40
Rgeb_1_SBO1014,40
Rgeb_2_SBO1014,40
Rgeb_3_SBO1014,40
Rgeb_4_SBO1014,64
Rgeb_DCS_1_SBO3014,40
Rgeb_DCS_2_SBO3014,48
EL_HAWAMED_1_SBO1015,64
EL_HAWAMED_2_SBO1015,24
EL_HAWAMED_3_SBO1015,24
SOUK_EJJEDIDE_1_SBO1016,40
SOUK_EJJEDIDE_2_SBO1016,40
SBO1016S3,40
SBO1016S4,40
SOUK_EJJEDIDE_DCS_1_SBO3016,40
ERMILIA_1_SBO1017,40
ERMILIA_2_SBO1017,40
Lessouda_1_SBO1018,40
Lessouda_2_SBO1018,24
Lessouda_3_SBO1018,40
Lessouda_DCS_1_SBO3018,64
Lessouda_DCS_2_SBO3018,40
Lessouda_DCS_3_SBO3018,40
FAIDH_1_SBO1019,40
FAIDH_2_SBO1019,40
FAIDH_3_SBO1019,40
AWLED_HAFFOUZ_1_SBO1020,40
AWLED_HAFFOUZ_2_SBO1020,40
AWLED_HAFFOUZ_3_SBO1020,40
FARNASSA_1_SBO1021,40
FARNASSA_2_SBO1021,40
FARNASSA_3_SBO1021,40
FARNASSA_DCS_1_SBO3021,40
FARNASSA_DCS_2_SBO3021,40
FARNASSA_DCS_3_SBO3021,40
MGHILLA_1_SBO1022,40
MGHILLA_2_SBO1022,40
MGHILLA_3_SBO1022,40
MGHILLA_DCS_1_SBO3022,40
MGHILLA_DCS_3_SBO3022,40
BIR_ELHWAJBIA_1_SBO1023,24
BIR_ELHWAJBIA_2_SBO1023,48
BIR_ELHWAJBIA_3_SBO1023,48
BIR_ELHWAJBIA_DCS_1_SBO3023,40
BIR_ELHWAJBIA_DCS_2_SBO3023,40
BIR_ELHWAJBIA_DCS_3_SBO3023,40
MHAFDHIA_1_SBO1025,40
MHAFDHIA_2_SBO1025,40
MHAFDHIA_3_SBO1025,40
MHAFDHIA_DCS_1_SBO3025,40
MHAFDHIA_DCS_2_SBO3025,40
MHAFDHIA_DCS_3_SBO3025,72
EL_NWAIWRIA_1_SBO1026,64
EL_NWAIWRIA_2_SBO1026,48
EL_NWAIWRIA_3_SBO1026,48
AV_MONGI_SLIM_1_SBO1027,24
AV_MONGI_SLIM_2_SBO1027,40
AV_MONGI_SLIM_3_SBO1027,40
AV_MONGI_SLIM_4_SBO1027,40
RUE ETHAOIRA_1_SBO1028,40
RUE ETHAOIRA_2_SBO1028,40
RUE ETHAOIRA_3_SBO1028,40
RUE ETHAOIRA_DCS_1_SBO3028,40
RUE ETHAOIRA_DCS_2_SBO3028,40
RUE ETHAOIRA_DCS_3_SBO3028,40
